response_id;customer_id;data_resposta;industria;empresa;produto;jornada;canal;regiao;segmento;nps_score
R0001;C0575;2025-01-14;Banco;ContaMais;Conta Corrente;Renovação;Call Center;Sul;Média Renda;7
R0002;C0160;2025-05-23;Telecom;LegacyTel;Celular Pré-Pago;Renovação;Loja/Agência;Norte;PME;6
R0003;C0634;2025-11-18;Telecom;LegacyTel;Celular Pós-Pago;Onboarding;App;Centro-Oeste;Baixa Renda;5
R0004;C0374;2025-11-22;Varejo;LojaFácil;Entrega;Uso do App/Site;Loja/Agência;Sudeste;Baixa Renda;10
R0005;C0058;2025-06-16;Telecom;FibraMax;Celular Pós-Pago;Pagamento;Website;Nordeste;Baixa Renda;6
R0006;C0470;2025-11-26;Telecom;MobileNow;Internet Fixa;Cancelamento;Call Center;Centro-Oeste;Alta Renda;5
R0007;C0157;2025-02-26;Telecom;Connecta;Celular Pós-Pago;Uso do App/Site;Website;Norte;Premium;7
R0008;C0699;2025-02-28;Telecom;FibraMax;Celular Pré-Pago;Atendimento;Atendimento Humano;Sudeste;PME;7
R0009;C0655;2025-06-02;Varejo;MercadoBom;Entrega;Pagamento;App;Nordeste;PME;7
R0010;C0581;2025-05-04;Telecom;LegacyTel;Internet Fixa;Pagamento;Website;Norte;Premium;4
R0011;C0206;2025-12-20;Banco;TradBank;Conta Corrente;Renovação;Chatbot;Sudeste;Premium;6
R0012;C0008;2025-04-23;Varejo;SuperPrime;Loja Física;Renovação;Loja/Agência;Nordeste;PME;5
R0013;C0485;2025-05-05;Banco;TradBank;Empréstimo;Renovação;App;Sul;Baixa Renda;9
R0014;C0112;2025-06-23;Seguros;SeguroDireto;Seguro Auto;Onboarding;App;Centro-Oeste;Alta Renda;8
R0015;C0016;2025-10-04;Telecom;MobileNow;Internet Fixa;Uso do App/Site;Atendimento Humano;Centro-Oeste;Média Renda;6
R0016;C0293;2025-08-21;Banco;TradBank;Conta Corrente;Uso do App/Site;Chatbot;Centro-Oeste;PME;4
R0017;C0162;2025-09-29;Seguros;SeguroDireto;Seguro Vida;Renovação;Atendimento Humano;Centro-Oeste;Média Renda;7
R0018;C0084;2025-11-14;Banco;Atlas Bank;Empréstimo;Onboarding;Website;Sudeste;Premium;8
R0019;C0010;2025-02-07;Seguros;SeguroDireto;Seguro Vida;Reclamação;Atendimento Humano;Norte;Alta Renda;7
R0020;C0557;2025-08-13;Seguros;VidaSul;Seguro Vida;Reclamação;App;Sudeste;Premium;5
R0021;C0289;2025-05-20;Varejo;SuperPrime;Entrega;Cancelamento;Loja/Agência;Norte;Baixa Renda;4
R0022;C0134;2025-06-20;Telecom;LegacyTel;Celular Pré-Pago;Pagamento;Website;Nordeste;Premium;10
R0023;C0043;2025-03-07;Varejo;MercadoBom;Compra Online;Renovação;Chatbot;Norte;PME;6
R0024;C0167;2025-05-02;Varejo;SuperPrime;Loja Física;Cancelamento;App;Nordeste;Média Renda;6
R0025;C0359;2025-08-24;Telecom;FibraMax;Celular Pós-Pago;Onboarding;Website;Nordeste;PME;9
R0026;C0340;2025-10-02;Varejo;SuperPrime;Compra Online;Uso do App/Site;App;Sul;PME;9
R0027;C0447;2025-01-23;Banco;Nexa Bank;Conta Corrente;Pagamento;Website;Norte;Alta Renda;10
R0028;C0520;2025-06-03;Banco;Nexa Bank;Empréstimo;Cancelamento;Atendimento Humano;Sul;Alta Renda;6
R0029;C0312;2025-01-01;Varejo;SuperPrime;Entrega;Atendimento;Call Center;Centro-Oeste;Alta Renda;5
R0030;C0291;2025-02-13;Varejo;SuperPrime;Compra Online;Atendimento;Atendimento Humano;Norte;Alta Renda;9
R0031;C0394;2025-12-23;Varejo;CompreJá;Compra Online;Cancelamento;Website;Nordeste;Média Renda;6
R0032;C0468;2025-03-04;Seguros;ClasseA;Seguro Residencial;Uso do App/Site;Website;Sudeste;Baixa Renda;5
R0033;C0461;2025-09-01;Telecom;Connecta;Celular Pós-Pago;Renovação;Atendimento Humano;Norte;Premium;6
R0034;C0083;2025-10-04;Varejo;MercadoBom;Compra Online;Cancelamento;Loja/Agência;Nordeste;Premium;8
R0035;C0590;2025-01-11;Telecom;Connecta;Internet Fixa;Uso do App/Site;Chatbot;Sul;Média Renda;8
R0036;C0225;2025-09-07;Seguros;Protege+;Seguro Residencial;Onboarding;Call Center;Nordeste;PME;9
R0037;C0028;2025-12-06;Varejo;MercadoBom;Loja Física;Atendimento;App;Centro-Oeste;Alta Renda;5
R0038;C0259;2025-08-04;Banco;TradBank;Empréstimo;Atendimento;Website;Centro-Oeste;Média Renda;6
R0039;C0157;2025-11-15;Banco;TradBank;Cartão de Crédito;Onboarding;Loja/Agência;Norte;Baixa Renda;8
R0040;C0319;2025-03-25;Telecom;MobileNow;Internet Fixa;Atendimento;Loja/Agência;Sudeste;Premium;2
R0041;C0580;2025-03-03;Banco;ContaMais;Empréstimo;Onboarding;Call Center;Norte;PME;5
R0042;C0157;2025-08-24;Banco;Atlas Bank;Cartão de Crédito;Reclamação;Chatbot;Nordeste;Baixa Renda;7
R0043;C0250;2025-08-19;Seguros;SeguroDireto;Seguro Auto;Renovação;Atendimento Humano;Nordeste;Premium;8
R0044;C0283;2025-11-02;Seguros;VidaSul;Seguro Vida;Reclamação;Loja/Agência;Centro-Oeste;Alta Renda;10
R0045;C0314;2025-05-05;Banco;Nexa Bank;Empréstimo;Uso do App/Site;App;Sul;PME;4
R0046;C0324;2025-04-09;Varejo;LojaFácil;Loja Física;Reclamação;Atendimento Humano;Nordeste;PME;5
R0047;C0184;2025-07-04;Banco;ContaMais;Empréstimo;Reclamação;Loja/Agência;Sul;Média Renda;7
R0048;C0588;2025-01-07;Varejo;SuperPrime;Compra Online;Renovação;Atendimento Humano;Sul;Alta Renda;8
R0049;C0577;2025-03-18;Varejo;SuperPrime;Loja Física;Atendimento;Chatbot;Nordeste;Média Renda;8
R0050;C0440;2025-10-29;Varejo;SuperPrime;Compra Online;Uso do App/Site;App;Norte;PME;7
R0051;C0609;2025-12-19;Varejo;SuperPrime;Entrega;Reclamação;App;Norte;Baixa Renda;7
R0052;C0436;2025-04-12;Seguros;ClasseA;Seguro Residencial;Onboarding;Website;Nordeste;Alta Renda;8
R0053;C0413;2025-06-05;Banco;ContaMais;Empréstimo;Uso do App/Site;Loja/Agência;Sul;Alta Renda;7
R0054;C0602;2025-10-22;Varejo;MercadoBom;Entrega;Reclamação;Chatbot;Centro-Oeste;Baixa Renda;5
R0055;C0357;2025-08-29;Banco;Nexa Bank;Empréstimo;Cancelamento;Call Center;Norte;Baixa Renda;6
R0056;C0323;2025-02-15;Seguros;SeguroDireto;Seguro Residencial;Pagamento;Loja/Agência;Sudeste;Média Renda;6
R0057;C0563;2025-05-17;Varejo;MercadoBom;Loja Física;Onboarding;Chatbot;Norte;Baixa Renda;5
R0058;C0231;2025-02-17;Telecom;Connecta;Celular Pós-Pago;Atendimento;Loja/Agência;Centro-Oeste;Baixa Renda;3
R0059;C0521;2025-11-03;Banco;ContaMais;Cartão de Crédito;Onboarding;Loja/Agência;Sul;PME;9
R0060;C0458;2025-03-18;Telecom;Connecta;Internet Fixa;Pagamento;Chatbot;Nordeste;Premium;7
R0061;C0391;2025-08-31;Seguros;ClasseA;Seguro Residencial;Pagamento;Atendimento Humano;Norte;PME;6
R0062;C0016;2025-08-22;Seguros;Protege+;Seguro Vida;Cancelamento;Loja/Agência;Sul;PME;9
R0063;C0642;2025-06-12;Telecom;Connecta;Celular Pós-Pago;Cancelamento;Loja/Agência;Sul;Baixa Renda;0
R0064;C0103;2025-12-27;Seguros;ClasseA;Seguro Vida;Onboarding;Atendimento Humano;Sudeste;Média Renda;5
R0065;C0625;2025-02-10;Seguros;VidaSul;Seguro Auto;Renovação;Call Center;Sudeste;Baixa Renda;6
R0066;C0560;2025-12-13;Seguros;Protege+;Seguro Vida;Renovação;Website;Centro-Oeste;Premium;9
R0067;C0589;2025-07-03;Telecom;FibraMax;Internet Fixa;Atendimento;Call Center;Norte;Alta Renda;6
R0068;C0236;2025-05-27;Varejo;SuperPrime;Entrega;Pagamento;App;Centro-Oeste;Alta Renda;8
R0069;C0594;2025-01-18;Varejo;LojaFácil;Compra Online;Renovação;Website;Norte;Alta Renda;5
R0070;C0169;2025-05-20;Varejo;LojaFácil;Entrega;Uso do App/Site;App;Nordeste;Alta Renda;5
R0071;C0015;2025-07-22;Varejo;MercadoBom;Loja Física;Cancelamento;Call Center;Nordeste;Baixa Renda;5
R0072;C0336;2025-10-15;Varejo;MercadoBom;Entrega;Onboarding;Chatbot;Nordeste;Alta Renda;5
R0073;C0380;2025-08-21;Telecom;MobileNow;Celular Pré-Pago;Onboarding;Loja/Agência;Centro-Oeste;Alta Renda;6
R0074;C0456;2025-08-16;Seguros;SeguroDireto;Seguro Vida;Renovação;Loja/Agência;Sul;PME;7
R0075;C0655;2025-11-25;Telecom;MobileNow;Celular Pós-Pago;Onboarding;Loja/Agência;Nordeste;Premium;10
R0076;C0611;2025-03-17;Banco;Nexa Bank;Conta Corrente;Cancelamento;Call Center;Sul;Média Renda;5
R0077;C0054;2025-05-16;Banco;Nexa Bank;Cartão de Crédito;Cancelamento;Website;Sul;Premium;7
R0078;C0534;2025-12-04;Telecom;Connecta;Celular Pré-Pago;Atendimento;Atendimento Humano;Sudeste;Baixa Renda;5
R0079;C0640;2025-05-21;Varejo;SuperPrime;Loja Física;Renovação;App;Sudeste;PME;8
R0080;C0441;2025-04-21;Varejo;CompreJá;Loja Física;Reclamação;Atendimento Humano;Nordeste;PME;5
R0081;C0096;2025-02-13;Seguros;VidaSul;Seguro Auto;Atendimento;Call Center;Centro-Oeste;PME;6
R0082;C0053;2025-08-05;Seguros;SeguroDireto;Seguro Auto;Renovação;Loja/Agência;Nordeste;Média Renda;10
R0083;C0575;2025-08-08;Varejo;SuperPrime;Entrega;Pagamento;Call Center;Sudeste;Premium;6
R0084;C0072;2025-07-25;Banco;Nexa Bank;Empréstimo;Renovação;Loja/Agência;Nordeste;Baixa Renda;7
R0085;C0162;2025-03-21;Telecom;Connecta;Celular Pré-Pago;Renovação;App;Sudeste;Premium;7
R0086;C0695;2025-12-14;Banco;Atlas Bank;Empréstimo;Onboarding;Call Center;Centro-Oeste;PME;4
R0087;C0441;2025-09-12;Seguros;ClasseA;Seguro Vida;Renovação;Call Center;Sudeste;Média Renda;5
R0088;C0321;2025-02-09;Telecom;FibraMax;Internet Fixa;Atendimento;Atendimento Humano;Sul;Premium;9
R0089;C0250;2025-02-24;Seguros;SeguroDireto;Seguro Vida;Atendimento;Loja/Agência;Centro-Oeste;Alta Renda;6
R0090;C0199;2025-09-19;Seguros;SeguroDireto;Seguro Vida;Atendimento;Atendimento Humano;Sudeste;PME;3
R0091;C0594;2025-10-16;Varejo;LojaFácil;Loja Física;Renovação;Loja/Agência;Sul;Média Renda;8
R0092;C0058;2025-10-30;Seguros;VidaSul;Seguro Vida;Reclamação;Loja/Agência;Norte;Alta Renda;8
R0093;C0043;2025-10-11;Varejo;LojaFácil;Entrega;Onboarding;Call Center;Centro-Oeste;PME;8
R0094;C0517;2025-02-13;Seguros;VidaSul;Seguro Vida;Renovação;Website;Nordeste;Premium;8
R0095;C0343;2025-11-28;Telecom;FibraMax;Internet Fixa;Uso do App/Site;Loja/Agência;Centro-Oeste;PME;5
R0096;C0359;2025-03-14;Banco;TradBank;Cartão de Crédito;Onboarding;Atendimento Humano;Centro-Oeste;Alta Renda;4
R0097;C0096;2025-09-27;Varejo;SuperPrime;Entrega;Renovação;Loja/Agência;Centro-Oeste;Média Renda;3
R0098;C0104;2025-06-01;Seguros;SeguroDireto;Seguro Vida;Pagamento;App;Nordeste;Alta Renda;4
R0099;C0455;2025-05-02;Banco;Atlas Bank;Empréstimo;Pagamento;Atendimento Humano;Sul;Premium;6
R0100;C0473;2025-08-14;Varejo;SuperPrime;Entrega;Cancelamento;Chatbot;Sul;Premium;8
R0101;C0128;2025-09-22;Varejo;SuperPrime;Loja Física;Reclamação;Atendimento Humano;Centro-Oeste;Média Renda;8
R0102;C0425;2025-01-14;Varejo;SuperPrime;Compra Online;Cancelamento;Website;Nordeste;PME;4
R0103;C0143;2025-08-30;Banco;Atlas Bank;Cartão de Crédito;Reclamação;Call Center;Sul;PME;8
R0104;C0309;2025-05-02;Seguros;ClasseA;Seguro Residencial;Reclamação;App;Sudeste;Baixa Renda;4
R0105;C0362;2025-11-11;Banco;ContaMais;Conta Corrente;Uso do App/Site;Chatbot;Norte;PME;10
R0106;C0045;2025-08-29;Telecom;MobileNow;Celular Pré-Pago;Atendimento;Website;Sudeste;Premium;6
R0107;C0659;2025-06-23;Seguros;Protege+;Seguro Residencial;Pagamento;Loja/Agência;Sudeste;Alta Renda;7
R0108;C0324;2025-01-22;Telecom;FibraMax;Celular Pré-Pago;Atendimento;Loja/Agência;Centro-Oeste;Média Renda;5
R0109;C0451;2025-07-24;Varejo;SuperPrime;Entrega;Atendimento;Atendimento Humano;Centro-Oeste;Alta Renda;9
R0110;C0559;2025-04-03;Seguros;Protege+;Seguro Residencial;Uso do App/Site;Chatbot;Centro-Oeste;Alta Renda;5
R0111;C0282;2025-08-11;Varejo;SuperPrime;Loja Física;Onboarding;App;Nordeste;Alta Renda;6
R0112;C0130;2025-01-18;Banco;Atlas Bank;Conta Corrente;Renovação;Loja/Agência;Centro-Oeste;Alta Renda;8
R0113;C0408;2025-07-07;Banco;TradBank;Conta Corrente;Cancelamento;Loja/Agência;Nordeste;Alta Renda;3
R0114;C0627;2025-04-20;Varejo;CompreJá;Entrega;Pagamento;Website;Sudeste;Baixa Renda;8
R0115;C0067;2025-12-30;Varejo;SuperPrime;Entrega;Atendimento;Website;Sudeste;Média Renda;8
R0116;C0378;2025-10-21;Varejo;SuperPrime;Loja Física;Cancelamento;Website;Sul;Alta Renda;3
R0117;C0478;2025-08-19;Seguros;VidaSul;Seguro Vida;Uso do App/Site;Atendimento Humano;Sudeste;Baixa Renda;4
R0118;C0166;2025-03-26;Varejo;LojaFácil;Compra Online;Cancelamento;Atendimento Humano;Norte;Média Renda;5
R0119;C0595;2025-10-31;Varejo;CompreJá;Entrega;Uso do App/Site;Call Center;Norte;Alta Renda;7
R0120;C0667;2025-05-16;Telecom;Connecta;Internet Fixa;Renovação;Atendimento Humano;Norte;Alta Renda;9
R0121;C0162;2025-01-31;Telecom;LegacyTel;Celular Pré-Pago;Atendimento;Atendimento Humano;Sudeste;PME;8
R0122;C0528;2025-07-09;Seguros;VidaSul;Seguro Residencial;Atendimento;Chatbot;Sul;Alta Renda;4
R0123;C0321;2025-10-23;Banco;ContaMais;Cartão de Crédito;Uso do App/Site;Chatbot;Sudeste;Alta Renda;6
R0124;C0050;2025-06-30;Telecom;LegacyTel;Internet Fixa;Atendimento;Atendimento Humano;Centro-Oeste;PME;8
R0125;C0200;2025-10-15;Banco;Atlas Bank;Cartão de Crédito;Atendimento;Atendimento Humano;Centro-Oeste;Alta Renda;3
R0126;C0383;2025-07-21;Varejo;LojaFácil;Entrega;Pagamento;App;Centro-Oeste;Premium;5
R0127;C0336;2025-03-13;Varejo;CompreJá;Entrega;Pagamento;Website;Sul;Premium;4
R0128;C0113;2025-12-11;Varejo;CompreJá;Compra Online;Atendimento;Atendimento Humano;Nordeste;Premium;7
R0129;C0390;2025-11-14;Seguros;SeguroDireto;Seguro Vida;Pagamento;Loja/Agência;Sudeste;Premium;2
R0130;C0064;2025-08-30;Telecom;Connecta;Celular Pré-Pago;Uso do App/Site;App;Norte;Baixa Renda;4
R0131;C0271;2025-12-21;Telecom;Connecta;Celular Pré-Pago;Uso do App/Site;Atendimento Humano;Nordeste;PME;5
R0132;C0358;2025-09-03;Seguros;ClasseA;Seguro Auto;Uso do App/Site;Call Center;Norte;Alta Renda;10
R0133;C0672;2025-08-15;Varejo;MercadoBom;Loja Física;Onboarding;Atendimento Humano;Norte;PME;9
R0134;C0544;2025-12-09;Varejo;MercadoBom;Entrega;Atendimento;Website;Sul;Premium;8
R0135;C0489;2025-09-01;Telecom;MobileNow;Celular Pré-Pago;Uso do App/Site;App;Sudeste;PME;6
R0136;C0038;2025-04-01;Telecom;LegacyTel;Celular Pós-Pago;Pagamento;Call Center;Sudeste;Baixa Renda;5
R0137;C0517;2025-03-10;Seguros;Protege+;Seguro Residencial;Uso do App/Site;Loja/Agência;Nordeste;Baixa Renda;9
R0138;C0180;2025-04-09;Seguros;VidaSul;Seguro Residencial;Uso do App/Site;App;Nordeste;Média Renda;7
R0139;C0310;2025-06-18;Seguros;Protege+;Seguro Residencial;Reclamação;Call Center;Sudeste;PME;5
R0140;C0121;2025-12-20;Banco;Nexa Bank;Cartão de Crédito;Renovação;Call Center;Sul;Baixa Renda;8
R0141;C0697;2025-05-07;Varejo;SuperPrime;Loja Física;Reclamação;Website;Sul;Média Renda;4
R0142;C0533;2025-06-17;Banco;TradBank;Empréstimo;Atendimento;Atendimento Humano;Nordeste;Baixa Renda;4
R0143;C0023;2025-06-07;Seguros;VidaSul;Seguro Auto;Renovação;Website;Norte;PME;9
R0144;C0033;2025-08-30;Seguros;Protege+;Seguro Residencial;Cancelamento;App;Sul;Premium;7
R0145;C0122;2025-06-28;Varejo;SuperPrime;Loja Física;Uso do App/Site;Website;Centro-Oeste;Alta Renda;9
R0146;C0254;2025-04-28;Telecom;FibraMax;Celular Pré-Pago;Atendimento;Atendimento Humano;Sul;Média Renda;5
R0147;C0689;2025-11-03;Seguros;VidaSul;Seguro Residencial;Uso do App/Site;Call Center;Sul;Baixa Renda;9
R0148;C0327;2025-10-22;Banco;Atlas Bank;Conta Corrente;Renovação;App;Centro-Oeste;PME;7
R0149;C0659;2025-06-26;Varejo;CompreJá;Compra Online;Pagamento;Website;Norte;Média Renda;5
R0150;C0475;2025-03-15;Seguros;Protege+;Seguro Vida;Pagamento;Loja/Agência;Centro-Oeste;PME;10
R0151;C0275;2025-01-27;Banco;Atlas Bank;Empréstimo;Atendimento;Chatbot;Norte;Premium;7
R0152;C0217;2025-01-08;Seguros;Protege+;Seguro Vida;Reclamação;Atendimento Humano;Sudeste;Baixa Renda;5
R0153;C0369;2025-05-14;Telecom;LegacyTel;Celular Pré-Pago;Onboarding;Loja/Agência;Centro-Oeste;Média Renda;5
R0154;C0599;2025-10-11;Seguros;ClasseA;Seguro Residencial;Onboarding;Loja/Agência;Centro-Oeste;Alta Renda;9
R0155;C0472;2025-09-09;Seguros;SeguroDireto;Seguro Residencial;Uso do App/Site;Website;Nordeste;Média Renda;4
R0156;C0685;2025-02-08;Telecom;FibraMax;Celular Pré-Pago;Cancelamento;Call Center;Sul;Média Renda;10
R0157;C0007;2025-01-09;Banco;Atlas Bank;Conta Corrente;Atendimento;Website;Sul;Baixa Renda;6
R0158;C0537;2025-02-19;Seguros;SeguroDireto;Seguro Auto;Onboarding;Atendimento Humano;Nordeste;Premium;5
R0159;C0670;2025-02-11;Telecom;Connecta;Internet Fixa;Uso do App/Site;Atendimento Humano;Norte;Alta Renda;7
R0160;C0098;2025-10-17;Banco;Atlas Bank;Conta Corrente;Atendimento;Chatbot;Centro-Oeste;Premium;4
R0161;C0602;2025-04-17;Banco;Atlas Bank;Conta Corrente;Uso do App/Site;Loja/Agência;Norte;PME;6
R0162;C0081;2025-03-13;Telecom;Connecta;Celular Pré-Pago;Cancelamento;Chatbot;Sudeste;Alta Renda;4
R0163;C0567;2025-07-02;Varejo;LojaFácil;Compra Online;Onboarding;Chatbot;Sul;Baixa Renda;4
R0164;C0158;2025-11-21;Seguros;Protege+;Seguro Residencial;Uso do App/Site;Loja/Agência;Norte;PME;7
R0165;C0092;2025-01-14;Seguros;Protege+;Seguro Residencial;Pagamento;App;Sudeste;Baixa Renda;9
R0166;C0586;2025-05-05;Varejo;LojaFácil;Entrega;Onboarding;Atendimento Humano;Norte;Alta Renda;8
R0167;C0508;2025-11-17;Telecom;FibraMax;Celular Pré-Pago;Atendimento;Website;Sul;Alta Renda;6
R0168;C0609;2025-11-30;Telecom;LegacyTel;Celular Pós-Pago;Onboarding;Website;Nordeste;Baixa Renda;6
R0169;C0403;2025-05-24;Telecom;Connecta;Celular Pós-Pago;Pagamento;Atendimento Humano;Sul;PME;5
R0170;C0071;2025-05-30;Varejo;LojaFácil;Compra Online;Reclamação;Website;Norte;Premium;6
R0171;C0429;2025-12-21;Seguros;SeguroDireto;Seguro Vida;Atendimento;Website;Nordeste;Média Renda;6
R0172;C0663;2025-12-13;Banco;Atlas Bank;Cartão de Crédito;Renovação;Atendimento Humano;Norte;Baixa Renda;5
R0173;C0513;2025-10-29;Seguros;Protege+;Seguro Residencial;Cancelamento;Chatbot;Sudeste;Baixa Renda;7
R0174;C0534;2025-04-16;Telecom;Connecta;Celular Pós-Pago;Onboarding;Chatbot;Sudeste;Alta Renda;8
R0175;C0529;2025-05-05;Seguros;ClasseA;Seguro Residencial;Atendimento;App;Centro-Oeste;PME;6
R0176;C0203;2025-11-11;Telecom;FibraMax;Celular Pré-Pago;Uso do App/Site;Call Center;Norte;PME;5
R0177;C0269;2025-02-28;Seguros;VidaSul;Seguro Vida;Atendimento;Chatbot;Sudeste;Média Renda;7
R0178;C0630;2025-06-02;Seguros;ClasseA;Seguro Vida;Renovação;Call Center;Norte;PME;6
R0179;C0661;2025-10-03;Banco;TradBank;Empréstimo;Uso do App/Site;Call Center;Sudeste;Média Renda;6
R0180;C0576;2025-07-16;Telecom;FibraMax;Celular Pré-Pago;Uso do App/Site;Chatbot;Nordeste;Média Renda;8
R0181;C0508;2025-10-17;Seguros;ClasseA;Seguro Residencial;Renovação;Chatbot;Centro-Oeste;PME;6
R0182;C0254;2025-12-01;Banco;ContaMais;Empréstimo;Onboarding;Call Center;Norte;Alta Renda;9
R0183;C0170;2025-08-08;Varejo;SuperPrime;Compra Online;Atendimento;Call Center;Nordeste;Baixa Renda;1
R0184;C0696;2025-09-21;Telecom;Connecta;Internet Fixa;Cancelamento;Website;Sudeste;Premium;5
R0185;C0592;2025-03-14;Banco;ContaMais;Conta Corrente;Cancelamento;Chatbot;Sudeste;Alta Renda;6
R0186;C0336;2025-09-07;Varejo;MercadoBom;Entrega;Atendimento;Chatbot;Centro-Oeste;Baixa Renda;4
R0187;C0134;2025-10-23;Banco;Nexa Bank;Empréstimo;Onboarding;Loja/Agência;Centro-Oeste;Alta Renda;10
R0188;C0208;2025-08-08;Seguros;ClasseA;Seguro Residencial;Renovação;App;Sudeste;Baixa Renda;7
R0189;C0672;2025-08-08;Telecom;Connecta;Celular Pré-Pago;Pagamento;Website;Nordeste;Baixa Renda;6
R0190;C0136;2025-08-05;Banco;TradBank;Empréstimo;Onboarding;App;Sul;PME;7
R0191;C0577;2025-09-29;Seguros;ClasseA;Seguro Auto;Uso do App/Site;Chatbot;Sudeste;Baixa Renda;8
R0192;C0144;2025-02-21;Banco;Nexa Bank;Empréstimo;Renovação;Website;Centro-Oeste;Alta Renda;5
R0193;C0309;2025-12-04;Banco;ContaMais;Empréstimo;Renovação;Chatbot;Nordeste;PME;6
R0194;C0609;2025-11-23;Telecom;LegacyTel;Celular Pré-Pago;Reclamação;Atendimento Humano;Sul;PME;4
R0195;C0015;2025-02-04;Banco;TradBank;Empréstimo;Onboarding;Call Center;Nordeste;Média Renda;3
R0196;C0157;2025-11-12;Varejo;MercadoBom;Compra Online;Onboarding;App;Centro-Oeste;Premium;9
R0197;C0060;2025-05-03;Varejo;MercadoBom;Compra Online;Pagamento;App;Norte;Média Renda;8
R0198;C0168;2025-01-06;Telecom;MobileNow;Internet Fixa;Atendimento;App;Centro-Oeste;Premium;5
