response_id;customer_id;data_resposta;industria;empresa;produto;jornada;canal;regiao;segmento;nps_score
R0199;C0270;2025-02-02;Seguros;ClasseA;Seguro Residencial;Reclamação;Atendimento Humano;Nordeste;Média Renda;4
R0200;C0234;2025-03-01;Banco;TradBank;Cartão de Crédito;Atendimento;Atendimento Humano;Nordeste;Baixa Renda;5
R0201;C0330;2025-04-25;Banco;Nexa Bank;Conta Corrente;Cancelamento;App;Sul;Baixa Renda;4
R0202;C0071;2025-07-25;Telecom;MobileNow;Celular Pós-Pago;Renovação;Call Center;Nordeste;Baixa Renda;5
R0203;C0560;2025-04-11;Seguros;VidaSul;Seguro Residencial;Cancelamento;Call Center;Nordeste;Baixa Renda;5
R0204;C0107;2025-06-07;Telecom;MobileNow;Internet Fixa;Onboarding;Chatbot;Sudeste;Média Renda;5
R0205;C0595;2025-02-13;Telecom;LegacyTel;Celular Pré-Pago;Uso do App/Site;Chatbot;Centro-Oeste;Baixa Renda;6
R0206;C0335;2025-07-21;Banco;ContaMais;Empréstimo;Uso do App/Site;Loja/Agência;Centro-Oeste;Baixa Renda;5
R0207;C0463;2025-04-17;Varejo;CompreJá;Loja Física;Pagamento;Website;Sudeste;Média Renda;8
R0208;C0255;2025-12-31;Varejo;SuperPrime;Loja Física;Pagamento;App;Sudeste;Média Renda;8
R0209;C0125;2025-03-13;Varejo;LojaFácil;Loja Física;Reclamação;App;Nordeste;Alta Renda;6
R0210;C0023;2025-02-08;Banco;Nexa Bank;Conta Corrente;Cancelamento;Website;Sul;Média Renda;6
R0211;C0392;2025-01-16;Banco;TradBank;Conta Corrente;Renovação;Chatbot;Sul;Baixa Renda;8
R0212;C0491;2025-10-09;Seguros;SeguroDireto;Seguro Auto;Pagamento;Website;Sul;Alta Renda;9
R0213;C0497;2025-10-06;Banco;Atlas Bank;Conta Corrente;Pagamento;Chatbot;Sul;PME;8
R0214;C0543;2025-08-30;Varejo;LojaFácil;Entrega;Reclamação;Call Center;Centro-Oeste;Alta Renda;0
R0215;C0181;2025-03-30;Varejo;LojaFácil;Entrega;Uso do App/Site;Website;Sudeste;Média Renda;6
R0216;C0556;2025-09-10;Telecom;MobileNow;Celular Pré-Pago;Pagamento;Loja/Agência;Nordeste;Premium;7
R0217;C0061;2025-06-15;Varejo;SuperPrime;Compra Online;Atendimento;App;Sudeste;Baixa Renda;7
R0218;C0310;2025-06-22;Banco;Nexa Bank;Conta Corrente;Reclamação;Loja/Agência;Sul;Baixa Renda;7
R0219;C0315;2025-07-13;Varejo;CompreJá;Compra Online;Uso do App/Site;Loja/Agência;Centro-Oeste;PME;6
R0220;C0107;2025-10-17;Varejo;SuperPrime;Compra Online;Uso do App/Site;Loja/Agência;Sudeste;Premium;6
R0221;C0215;2025-05-16;Seguros;ClasseA;Seguro Auto;Pagamento;Loja/Agência;Sudeste;Média Renda;6
R0222;C0360;2025-07-13;Telecom;MobileNow;Celular Pré-Pago;Onboarding;Call Center;Nordeste;Baixa Renda;4
R0223;C0077;2025-03-24;Seguros;Protege+;Seguro Auto;Cancelamento;Chatbot;Norte;Média Renda;6
R0224;C0420;2025-04-08;Banco;TradBank;Cartão de Crédito;Reclamação;Atendimento Humano;Centro-Oeste;Baixa Renda;5
R0225;C0205;2025-09-03;Varejo;MercadoBom;Entrega;Pagamento;Call Center;Sul;Baixa Renda;9
R0226;C0397;2025-10-06;Banco;ContaMais;Conta Corrente;Uso do App/Site;Website;Nordeste;Baixa Renda;8
R0227;C0555;2025-06-26;Telecom;FibraMax;Celular Pós-Pago;Atendimento;Call Center;Sul;PME;9
R0228;C0405;2025-02-10;Seguros;SeguroDireto;Seguro Vida;Uso do App/Site;Atendimento Humano;Sudeste;PME;9
R0229;C0446;2025-12-16;Banco;Atlas Bank;Empréstimo;Reclamação;Atendimento Humano;Norte;Premium;9
R0230;C0470;2025-09-24;Telecom;LegacyTel;Celular Pré-Pago;Uso do App/Site;Atendimento Humano;Nordeste;Alta Renda;7
R0231;C0353;2025-10-02;Banco;Nexa Bank;Empréstimo;Reclamação;Atendimento Humano;Norte;PME;8
R0232;C0340;2025-07-22;Seguros;SeguroDireto;Seguro Residencial;Atendimento;Loja/Agência;Centro-Oeste;Premium;7
R0233;C0329;2025-08-15;Telecom;MobileNow;Internet Fixa;Renovação;Chatbot;Nordeste;Alta Renda;10
R0234;C0163;2025-09-21;Varejo;MercadoBom;Entrega;Atendimento;Atendimento Humano;Sudeste;Média Renda;6
R0235;C0204;2025-07-04;Banco;TradBank;Cartão de Crédito;Renovação;Atendimento Humano;Centro-Oeste;Média Renda;6
R0236;C0601;2025-08-31;Varejo;MercadoBom;Loja Física;Cancelamento;Chatbot;Norte;PME;6
R0237;C0526;2025-07-29;Varejo;LojaFácil;Loja Física;Uso do App/Site;Call Center;Sudeste;Alta Renda;7
R0238;C0386;2025-08-05;Banco;Nexa Bank;Empréstimo;Onboarding;Chatbot;Sul;Média Renda;9
R0239;C0624;2025-11-01;Varejo;LojaFácil;Loja Física;Pagamento;Website;Centro-Oeste;Alta Renda;5
R0240;C0530;2025-03-18;Varejo;SuperPrime;Loja Física;Renovação;App;Centro-Oeste;Baixa Renda;3
R0241;C0195;2025-10-20;Telecom;MobileNow;Internet Fixa;Cancelamento;Atendimento Humano;Centro-Oeste;Alta Renda;5
R0242;C0483;2025-02-19;Varejo;CompreJá;Entrega;Renovação;Website;Norte;PME;7
R0243;C0302;2025-10-27;Telecom;Connecta;Celular Pré-Pago;Pagamento;Loja/Agência;Norte;Média Renda;10
R0244;C0056;2025-07-31;Seguros;VidaSul;Seguro Auto;Atendimento;App;Norte;Premium;6
R0245;C0005;2025-01-30;Telecom;Connecta;Internet Fixa;Uso do App/Site;Call Center;Centro-Oeste;Premium;10
R0246;C0393;2025-09-02;Seguros;VidaSul;Seguro Residencial;Uso do App/Site;Website;Norte;Média Renda;8
R0247;C0393;2025-02-22;Banco;Nexa Bank;Conta Corrente;Reclamação;Website;Nordeste;Baixa Renda;9
R0248;C0368;2025-09-08;Varejo;SuperPrime;Compra Online;Onboarding;App;Nordeste;Alta Renda;6
R0249;C0262;2025-11-24;Telecom;LegacyTel;Internet Fixa;Cancelamento;Chatbot;Sudeste;Média Renda;5
R0250;C0646;2025-12-22;Banco;Atlas Bank;Empréstimo;Onboarding;Loja/Agência;Sudeste;Baixa Renda;9
R0251;C0204;2025-09-12;Banco;Nexa Bank;Cartão de Crédito;Atendimento;Loja/Agência;Sudeste;Premium;7
R0252;C0014;2025-01-02;Telecom;LegacyTel;Celular Pós-Pago;Cancelamento;Atendimento Humano;Sul;Alta Renda;4
R0253;C0103;2025-01-26;Banco;TradBank;Conta Corrente;Cancelamento;Atendimento Humano;Centro-Oeste;Média Renda;8
R0254;C0337;2025-03-29;Telecom;FibraMax;Internet Fixa;Cancelamento;Call Center;Nordeste;Alta Renda;4
R0255;C0116;2025-03-27;Varejo;LojaFácil;Loja Física;Reclamação;Call Center;Sudeste;Alta Renda;6
R0256;C0030;2025-11-10;Telecom;Connecta;Celular Pré-Pago;Renovação;App;Sul;Baixa Renda;9
R0257;C0347;2025-12-09;Telecom;Connecta;Celular Pós-Pago;Atendimento;App;Centro-Oeste;PME;8
R0258;C0161;2025-11-26;Banco;ContaMais;Cartão de Crédito;Renovação;Loja/Agência;Sul;PME;4
R0259;C0459;2025-10-21;Seguros;ClasseA;Seguro Residencial;Cancelamento;Website;Sudeste;PME;6
R0260;C0653;2025-11-13;Banco;TradBank;Cartão de Crédito;Atendimento;Call Center;Sudeste;PME;8
R0261;C0117;2025-08-20;Varejo;SuperPrime;Entrega;Reclamação;Website;Centro-Oeste;Alta Renda;6
R0262;C0144;2025-09-10;Banco;ContaMais;Empréstimo;Uso do App/Site;App;Nordeste;Alta Renda;6
R0263;C0603;2025-12-11;Seguros;SeguroDireto;Seguro Auto;Pagamento;Atendimento Humano;Sul;Média Renda;9
R0264;C0182;2025-09-18;Banco;ContaMais;Cartão de Crédito;Atendimento;Loja/Agência;Norte;Premium;10
R0265;C0302;2025-06-25;Telecom;FibraMax;Celular Pré-Pago;Cancelamento;Website;Sudeste;PME;5
R0266;C0640;2025-04-18;Seguros;VidaSul;Seguro Auto;Uso do App/Site;Chatbot;Norte;Premium;5
R0267;C0547;2025-12-12;Varejo;SuperPrime;Entrega;Pagamento;Loja/Agência;Sul;Média Renda;4
R0268;C0257;2025-12-16;Varejo;SuperPrime;Loja Física;Cancelamento;App;Norte;Baixa Renda;6
R0269;C0295;2025-09-19;Telecom;Connecta;Internet Fixa;Renovação;Call Center;Sul;Premium;10
R0270;C0664;2025-11-21;Banco;Atlas Bank;Cartão de Crédito;Atendimento;Chatbot;Nordeste;Premium;4
R0271;C0439;2025-01-21;Varejo;LojaFácil;Entrega;Reclamação;Loja/Agência;Norte;Média Renda;7
R0272;C0631;2025-11-17;Varejo;MercadoBom;Entrega;Pagamento;Website;Sul;Premium;9
R0273;C0358;2025-02-17;Varejo;SuperPrime;Loja Física;Cancelamento;Atendimento Humano;Norte;Alta Renda;9
R0274;C0118;2025-01-05;Telecom;MobileNow;Internet Fixa;Renovação;Call Center;Nordeste;Alta Renda;5
R0275;C0384;2025-09-22;Varejo;LojaFácil;Loja Física;Uso do App/Site;Loja/Agência;Norte;Premium;7
R0276;C0687;2025-04-18;Seguros;VidaSul;Seguro Residencial;Onboarding;Call Center;Sul;Alta Renda;8
R0277;C0039;2025-06-19;Telecom;LegacyTel;Celular Pré-Pago;Atendimento;App;Sul;Premium;8
R0278;C0399;2025-01-09;Banco;TradBank;Conta Corrente;Onboarding;Website;Nordeste;Premium;8
R0279;C0449;2025-05-25;Banco;ContaMais;Empréstimo;Onboarding;Loja/Agência;Norte;Baixa Renda;7
R0280;C0306;2025-03-15;Seguros;Protege+;Seguro Residencial;Cancelamento;Loja/Agência;Sudeste;PME;8
R0281;C0662;2025-07-31;Varejo;LojaFácil;Compra Online;Reclamação;Atendimento Humano;Sul;Baixa Renda;8
R0282;C0075;2025-10-09;Telecom;Connecta;Internet Fixa;Uso do App/Site;Website;Norte;Alta Renda;10
R0283;C0337;2025-08-19;Varejo;SuperPrime;Entrega;Onboarding;Call Center;Sudeste;Média Renda;7
R0284;C0447;2025-11-25;Varejo;SuperPrime;Entrega;Reclamação;Website;Norte;Premium;8
R0285;C0270;2025-04-11;Varejo;MercadoBom;Loja Física;Uso do App/Site;Loja/Agência;Nordeste;PME;5
R0286;C0484;2025-10-04;Banco;TradBank;Empréstimo;Onboarding;App;Norte;Baixa Renda;4
R0287;C0144;2025-09-21;Telecom;Connecta;Celular Pós-Pago;Atendimento;Website;Norte;Alta Renda;8
R0288;C0044;2025-04-30;Seguros;VidaSul;Seguro Auto;Uso do App/Site;Atendimento Humano;Norte;Média Renda;10
R0289;C0593;2025-05-15;Telecom;LegacyTel;Celular Pré-Pago;Cancelamento;Call Center;Centro-Oeste;PME;8
R0290;C0499;2025-06-26;Telecom;FibraMax;Celular Pós-Pago;Renovação;Chatbot;Nordeste;Premium;7
R0291;C0339;2025-08-01;Seguros;ClasseA;Seguro Vida;Onboarding;Atendimento Humano;Sul;PME;8
R0292;C0525;2025-11-19;Banco;ContaMais;Cartão de Crédito;Renovação;Chatbot;Centro-Oeste;Média Renda;9
R0293;C0460;2025-04-21;Banco;Atlas Bank;Empréstimo;Uso do App/Site;App;Sul;Alta Renda;9
R0294;C0465;2025-06-25;Seguros;ClasseA;Seguro Residencial;Uso do App/Site;Website;Centro-Oeste;Premium;6
R0295;C0516;2025-09-30;Banco;TradBank;Conta Corrente;Atendimento;Chatbot;Sul;Baixa Renda;8
R0296;C0543;2025-01-23;Banco;ContaMais;Conta Corrente;Atendimento;Loja/Agência;Sul;Premium;6
R0297;C0291;2025-02-12;Seguros;SeguroDireto;Seguro Auto;Cancelamento;Chatbot;Centro-Oeste;Alta Renda;2
R0298;C0437;2025-03-21;Seguros;SeguroDireto;Seguro Residencial;Uso do App/Site;App;Sudeste;Premium;9
R0299;C0260;2025-09-05;Varejo;MercadoBom;Loja Física;Cancelamento;Atendimento Humano;Centro-Oeste;Premium;6
R0300;C0411;2025-09-18;Varejo;SuperPrime;Entrega;Pagamento;Loja/Agência;Centro-Oeste;Média Renda;5
R0301;C0624;2025-02-10;Varejo;CompreJá;Entrega;Reclamação;Loja/Agência;Sudeste;Média Renda;3
R0302;C0673;2025-04-14;Banco;Atlas Bank;Empréstimo;Atendimento;Chatbot;Norte;Premium;6
R0303;C0686;2025-06-30;Varejo;SuperPrime;Compra Online;Onboarding;Atendimento Humano;Norte;Premium;7
R0304;C0232;2025-05-22;Seguros;Protege+;Seguro Residencial;Reclamação;Website;Norte;Baixa Renda;6
R0305;C0257;2025-10-22;Telecom;LegacyTel;Celular Pós-Pago;Atendimento;Atendimento Humano;Sudeste;Alta Renda;7
R0306;C0649;2025-07-15;Seguros;VidaSul;Seguro Residencial;Reclamação;Chatbot;Sul;Alta Renda;7
R0307;C0488;2025-04-02;Telecom;MobileNow;Celular Pré-Pago;Renovação;Website;Nordeste;PME;9
R0308;C0212;2025-05-16;Varejo;CompreJá;Loja Física;Uso do App/Site;Atendimento Humano;Nordeste;Média Renda;8
R0309;C0381;2025-09-04;Telecom;MobileNow;Internet Fixa;Cancelamento;Website;Norte;Alta Renda;6
R0310;C0490;2025-08-05;Varejo;CompreJá;Loja Física;Reclamação;Call Center;Centro-Oeste;Média Renda;3
R0311;C0192;2025-05-13;Banco;Atlas Bank;Empréstimo;Pagamento;Chatbot;Sul;PME;9
R0312;C0586;2025-04-03;Varejo;MercadoBom;Compra Online;Pagamento;Chatbot;Norte;Alta Renda;9
R0313;C0138;2025-09-13;Telecom;Connecta;Celular Pré-Pago;Renovação;Website;Sudeste;Alta Renda;7
R0314;C0267;2025-06-21;Varejo;CompreJá;Loja Física;Pagamento;Call Center;Norte;Premium;4
R0315;C0364;2025-05-26;Varejo;LojaFácil;Loja Física;Reclamação;Atendimento Humano;Nordeste;Alta Renda;7
R0316;C0586;2025-11-10;Varejo;CompreJá;Entrega;Reclamação;Chatbot;Centro-Oeste;Baixa Renda;4
R0317;C0462;2025-09-24;Seguros;Protege+;Seguro Auto;Onboarding;Website;Nordeste;Média Renda;6
R0318;C0562;2025-08-31;Seguros;SeguroDireto;Seguro Auto;Uso do App/Site;App;Sul;Média Renda;4
R0319;C0540;2025-03-09;Banco;Atlas Bank;Conta Corrente;Cancelamento;Chatbot;Norte;Baixa Renda;7
R0320;C0553;2025-12-24;Telecom;FibraMax;Internet Fixa;Onboarding;Loja/Agência;Nordeste;Alta Renda;10
R0321;C0311;2025-03-21;Telecom;FibraMax;Celular Pré-Pago;Reclamação;Chatbot;Norte;PME;3
R0322;C0612;2025-05-30;Banco;Nexa Bank;Conta Corrente;Reclamação;Website;Nordeste;Alta Renda;5
R0323;C0530;2025-05-03;Telecom;MobileNow;Internet Fixa;Reclamação;Call Center;Sul;PME;7
R0324;C0638;2025-12-25;Varejo;MercadoBom;Loja Física;Renovação;Loja/Agência;Norte;Alta Renda;6
R0325;C0223;2025-09-10;Seguros;ClasseA;Seguro Auto;Pagamento;App;Sul;Baixa Renda;7
R0326;C0557;2025-02-06;Varejo;CompreJá;Loja Física;Pagamento;Chatbot;Nordeste;PME;6
R0327;C0534;2025-02-18;Seguros;ClasseA;Seguro Auto;Uso do App/Site;Call Center;Centro-Oeste;Baixa Renda;9
R0328;C0370;2025-04-12;Telecom;LegacyTel;Celular Pós-Pago;Atendimento;Loja/Agência;Nordeste;Alta Renda;5
R0329;C0159;2025-11-02;Banco;Atlas Bank;Empréstimo;Uso do App/Site;App;Sul;PME;6
R0330;C0550;2025-12-26;Varejo;LojaFácil;Compra Online;Uso do App/Site;Website;Centro-Oeste;Baixa Renda;7
R0331;C0497;2025-01-21;Banco;ContaMais;Conta Corrente;Atendimento;Website;Nordeste;Premium;8
R0332;C0165;2025-10-11;Seguros;VidaSul;Seguro Vida;Pagamento;Atendimento Humano;Centro-Oeste;Média Renda;5
R0333;C0329;2025-05-03;Banco;TradBank;Empréstimo;Uso do App/Site;Chatbot;Nordeste;Alta Renda;4
R0334;C0675;2025-09-25;Banco;TradBank;Empréstimo;Reclamação;Chatbot;Sul;Premium;3
R0335;C0376;2025-01-26;Banco;TradBank;Conta Corrente;Cancelamento;Website;Sul;Baixa Renda;5
R0336;C0378;2025-08-01;Telecom;MobileNow;Celular Pré-Pago;Renovação;App;Sudeste;Média Renda;5
R0337;C0584;2025-05-08;Banco;Atlas Bank;Empréstimo;Pagamento;Atendimento Humano;Sudeste;Baixa Renda;7
R0338;C0564;2025-04-03;Telecom;FibraMax;Celular Pré-Pago;Renovação;Atendimento Humano;Centro-Oeste;Baixa Renda;9
R0339;C0624;2025-06-15;Seguros;Protege+;Seguro Vida;Pagamento;Loja/Agência;Sul;Premium;9
R0340;C0611;2025-05-26;Telecom;MobileNow;Celular Pré-Pago;Reclamação;Website;Centro-Oeste;Premium;8
R0341;C0159;2025-10-20;Banco;Nexa Bank;Empréstimo;Uso do App/Site;Call Center;Sudeste;Alta Renda;9
R0342;C0080;2025-04-22;Banco;ContaMais;Conta Corrente;Atendimento;Call Center;Sul;Média Renda;3
R0343;C0427;2025-08-11;Varejo;CompreJá;Loja Física;Uso do App/Site;Chatbot;Norte;Baixa Renda;5
R0344;C0227;2025-09-15;Banco;ContaMais;Conta Corrente;Renovação;Loja/Agência;Norte;Baixa Renda;8
R0345;C0562;2025-01-26;Telecom;Connecta;Internet Fixa;Renovação;Loja/Agência;Centro-Oeste;PME;6
R0346;C0631;2025-10-15;Seguros;Protege+;Seguro Residencial;Onboarding;Chatbot;Norte;PME;8
R0347;C0174;2025-06-06;Telecom;MobileNow;Internet Fixa;Onboarding;Call Center;Centro-Oeste;Alta Renda;6
R0348;C0056;2025-02-27;Varejo;LojaFácil;Entrega;Cancelamento;Chatbot;Norte;Média Renda;7
R0349;C0495;2025-10-08;Telecom;MobileNow;Celular Pré-Pago;Uso do App/Site;Call Center;Sudeste;Alta Renda;6
R0350;C0477;2025-01-28;Telecom;Connecta;Celular Pré-Pago;Renovação;Loja/Agência;Sudeste;PME;6
R0351;C0612;2025-09-06;Banco;Nexa Bank;Conta Corrente;Atendimento;Loja/Agência;Nordeste;Alta Renda;7
R0352;C0356;2025-01-10;Banco;TradBank;Conta Corrente;Uso do App/Site;Atendimento Humano;Centro-Oeste;Premium;10
R0353;C0403;2025-06-24;Varejo;LojaFácil;Loja Física;Renovação;Call Center;Sul;Premium;7
R0354;C0460;2025-06-18;Telecom;Connecta;Internet Fixa;Renovação;Chatbot;Norte;Premium;6
R0355;C0162;2025-10-17;Telecom;Connecta;Internet Fixa;Renovação;Website;Norte;Premium;6
R0356;C0454;2025-06-05;Varejo;CompreJá;Compra Online;Reclamação;Atendimento Humano;Sudeste;Média Renda;5
R0357;C0489;2025-02-10;Varejo;MercadoBom;Compra Online;Cancelamento;Website;Sudeste;Média Renda;7
R0358;C0277;2025-01-08;Telecom;Connecta;Celular Pré-Pago;Cancelamento;Atendimento Humano;Centro-Oeste;Alta Renda;7
R0359;C0623;2025-01-22;Seguros;SeguroDireto;Seguro Auto;Renovação;Loja/Agência;Sul;Média Renda;10
R0360;C0252;2025-01-22;Seguros;Protege+;Seguro Vida;Pagamento;Chatbot;Norte;Premium;9
R0361;C0056;2025-11-10;Seguros;Protege+;Seguro Vida;Onboarding;Atendimento Humano;Centro-Oeste;Premium;8
R0362;C0462;2025-06-15;Telecom;Connecta;Celular Pós-Pago;Cancelamento;Loja/Agência;Centro-Oeste;Baixa Renda;4
R0363;C0088;2025-07-05;Banco;Nexa Bank;Conta Corrente;Atendimento;Atendimento Humano;Sul;PME;9
R0364;C0149;2025-03-25;Seguros;Protege+;Seguro Vida;Cancelamento;Atendimento Humano;Norte;Média Renda;5
R0365;C0510;2025-08-23;Telecom;FibraMax;Celular Pré-Pago;Onboarding;Chatbot;Nordeste;Alta Renda;6
R0366;C0285;2025-10-08;Seguros;ClasseA;Seguro Vida;Cancelamento;App;Norte;PME;6
R0367;C0689;2025-03-24;Telecom;LegacyTel;Internet Fixa;Uso do App/Site;Website;Sudeste;Alta Renda;10
R0368;C0378;2025-06-15;Varejo;SuperPrime;Entrega;Renovação;Loja/Agência;Norte;Premium;7
R0369;C0645;2025-10-20;Seguros;Protege+;Seguro Auto;Cancelamento;Chatbot;Norte;Baixa Renda;5
R0370;C0533;2025-09-12;Banco;TradBank;Cartão de Crédito;Renovação;Loja/Agência;Norte;Alta Renda;5
R0371;C0047;2025-07-31;Seguros;ClasseA;Seguro Residencial;Cancelamento;Website;Norte;Média Renda;5
R0372;C0117;2025-01-04;Varejo;CompreJá;Loja Física;Reclamação;Loja/Agência;Sul;Baixa Renda;8
R0373;C0160;2025-09-04;Varejo;CompreJá;Loja Física;Atendimento;Loja/Agência;Norte;Premium;10
R0374;C0363;2025-06-19;Seguros;VidaSul;Seguro Vida;Pagamento;Chatbot;Centro-Oeste;Baixa Renda;7
R0375;C0033;2025-12-30;Banco;TradBank;Conta Corrente;Pagamento;App;Nordeste;PME;4
R0376;C0455;2025-02-17;Varejo;MercadoBom;Loja Física;Onboarding;Chatbot;Sul;Alta Renda;5
R0377;C0211;2025-03-09;Banco;Nexa Bank;Cartão de Crédito;Reclamação;Website;Sul;Alta Renda;9
R0378;C0534;2025-02-22;Banco;Atlas Bank;Cartão de Crédito;Atendimento;Loja/Agência;Norte;Baixa Renda;4
R0379;C0574;2025-11-15;Varejo;SuperPrime;Compra Online;Reclamação;Call Center;Sul;Alta Renda;6
R0380;C0554;2025-06-23;Banco;ContaMais;Conta Corrente;Reclamação;Call Center;Norte;Alta Renda;7
R0381;C0320;2025-07-02;Seguros;VidaSul;Seguro Auto;Uso do App/Site;App;Centro-Oeste;Baixa Renda;7
R0382;C0318;2025-08-22;Varejo;CompreJá;Compra Online;Renovação;Loja/Agência;Norte;Baixa Renda;4
R0383;C0116;2025-09-01;Seguros;VidaSul;Seguro Residencial;Uso do App/Site;Website;Sul;Premium;7
R0384;C0310;2025-02-06;Varejo;LojaFácil;Loja Física;Atendimento;Website;Nordeste;Alta Renda;5
R0385;C0558;2025-06-25;Seguros;VidaSul;Seguro Residencial;Reclamação;Chatbot;Sul;Premium;6
R0386;C0072;2025-07-27;Telecom;MobileNow;Internet Fixa;Renovação;Loja/Agência;Sudeste;Premium;5
R0387;C0153;2025-12-05;Banco;ContaMais;Empréstimo;Cancelamento;Atendimento Humano;Centro-Oeste;Alta Renda;3
R0388;C0353;2025-08-11;Seguros;VidaSul;Seguro Vida;Pagamento;Chatbot;Norte;Premium;5
R0389;C0032;2025-05-25;Banco;TradBank;Empréstimo;Onboarding;Atendimento Humano;Norte;PME;8
R0390;C0369;2025-07-16;Telecom;MobileNow;Celular Pós-Pago;Renovação;Atendimento Humano;Centro-Oeste;Alta Renda;7
R0391;C0467;2025-08-01;Seguros;SeguroDireto;Seguro Auto;Pagamento;Loja/Agência;Sul;Média Renda;9
R0392;C0514;2025-05-02;Seguros;SeguroDireto;Seguro Vida;Uso do App/Site;Chatbot;Norte;PME;6
R0393;C0477;2025-05-24;Varejo;MercadoBom;Loja Física;Reclamação;Atendimento Humano;Nordeste;Baixa Renda;9
R0394;C0352;2025-01-28;Banco;TradBank;Empréstimo;Reclamação;App;Sul;PME;4
R0395;C0267;2025-10-16;Banco;Nexa Bank;Cartão de Crédito;Atendimento;Atendimento Humano;Centro-Oeste;Premium;7
R0396;C0285;2025-02-09;Banco;Atlas Bank;Empréstimo;Atendimento;Atendimento Humano;Sul;Premium;8
R0397;C0497;2025-05-01;Varejo;MercadoBom;Compra Online;Reclamação;Call Center;Nordeste;Alta Renda;7
R0398;C0677;2025-05-02;Telecom;FibraMax;Celular Pré-Pago;Cancelamento;App;Nordeste;Baixa Renda;7
